"Dec. 3, 2025 Update on City Hall Campus Redevelopment","At the December 1, 2025 City Council Workshop, PFM, and independent financial analyst evaluating the project's regional economic impact, financial impact on the City and the cost effectiveness of the project in accordance with the State's P3 (Public Private Partnership) Statute, presented their findings and report. View the PDF. Additionally, an independent appraisal has been completed by Walter Duke and Partners for the existing downtown government campus’ 30 +/- acres and the 7+/- acres of public property subject to the proposed ground leases and associated development proposal. View the PDF. December 16, 2025: City Council Meeting December 18, 2025: Planning & Zoning Board Meeting January 6, 2026: City Council Meeting January 20, 2026: City Council Meeting March 10, 2026: Municipal Election The proposed City Hall Campus redevelopment project is a long-term initiative and priority of City Council, aimed at addressing aging infrastructure and enhancing services for our growing community. Through a public-private partnership, this project will revitalize the area by modernizing City Hall services, which are currently housed in outdated facilities, and relocating and improving recreational amenities. The vision is to create a vibrant, mixed-use civic hub that embodies a true “live, work, play” lifestyle. By integrating government services with residential, retail, and recreational spaces, the redevelopment will foster a dynamic, interconnected community. This project will transform the City Hall Campus into a modern urban center that supports both civic engagement and long-term growth. Discussions about a new Government Campus started around 2017. While some designs were presented to the City Council, the project didn’t move forward at that time. In recent years, the City has made redeveloping the City Hall Campus a priority. We understand and appreciate that residents care deeply about Boca Raton’s future and that meaningful discussion is part of what makes our community strong. However, some information circulating about current City projects and business has been incomplete or inaccurate. The following documents provide clear, factual information directly from the City about current projects, City business, initiatives and decisions. Many of these topics have already been discussed and addressed in public meetings, but we know not everyone can follow every update. Our goal is to make sure residents always have accurate information to form opinions based on facts. Click on a category below for information related to that topic. Questions? Please contact [email protected]. December 2, 2025: City Council Meeting December 16, 2025: City Council Meeting December 16, 2025: City Council Meeting December 18, 2025: Planning & Zoning Board Meeting January 6, 2026: City Council Meeting January 20, 2026: City Council Meeting March 10, 2026: Municipal Election A group of residents have submitted two petition efforts, one proposing an ordinance and one proposing a Charter amendment, each containing identical language to restrict the City’s ability to lease or sell parcels of City-owned land larger than one-half acre (or any part thereof) without voter approval. At the October 28 meeting, City Council unanimously approved two resolutions placing those measures on the January 13, 2026, special election ballot. The proposed language reads: “The City Council shall not in any manner alienate from the public, lease or sell any land that is owned by the City of Boca Raton greater than one-half (0.5) acre, or any part thereof, except upon approval of the proposed action at a referendum election.” View the October 28 discussion from the beginning with staff updates. View the discussion related to the petitions and petition language. In March 2026, City of Boca Raton residents may see multiple ballot questions in relation to this project. Each question is different in scope and purpose. Here's what they mean: At the September 9 City Council Meeting, Council directed staff to prepare a referendum question to be placed on the March 10, 2025 Municipal Election Ballot about the proposed public-private partnership (P3) with Boca Raton City Center, LLC. (Terra & Frisbie Group). At the December 2, 2025 City Council Meeting, Council will review and consider the specific language related to this project. Visit Palm Beach County's Supervisor of Elections webpage for information about the upcoming elections. We value your input! Feedback provided by the community is being shared with City Council, staff and the developers as part of this process. Be sure to participate in helping to shape the future of Boca Raton’s downtown: Please note: As this process evolves, FAQs are updated regularly to ensure the community has access to the most accurate and current information.","https://www.myboca.us/1431/Government-Campus"
"Police Department Headquarters Information Session","As part of the March 10, 2026 election, City of Boca Raton voters will be asked to vote for or against a $175 million general obligation bond in order to construct a new Police Department Headquarters. The City is hosting an information session that is in...","https://www.myboca.us/CivicAlerts.aspx?CID=1/CivicAlerts.aspx?AID=1816"
"Be Part of Shaping the Future of Mobility in Boca Raton","Share what matters most to you on micro-mobility, safety, and access in our City. Your input on a short survey will help guide upcoming mobility and transportation initiatives to better reflect the needs of our community.","https://app.sli.do/event/gobfJSxhw8DdYGvjyYEhcz/embed/polls/e3bb21ef-1b70-46d8-bb08-563535463982"
"The December Issue of the City Connection is Here!","The December issue of the City Connection is here!","https://www.myboca.us/CivicAlerts.aspx?CID=1/CivicAlerts.aspx?AID=1814"
"Your New 2025-2026 Sanitation Guide","Our new annual Sanitation Guide is now available! View our Sanitation email to download the guide, learn more about your services, service area map, schedule changes and more. And remember, be sure to sign up for alerts! Information in the link above.&...","https://www.myboca.us/CivicAlerts.aspx?CID=1/CivicAlerts.aspx?AID=1812"
"Boca Raton’s Centennial Comes Alive in Ode to Boca Mural","The City of Boca Raton has unveiled Ode to Boca, a vibrant new mural by local artist Brian Butler, now featured on the stage doors of the Mizner Park Amphitheater in celebration of the City’s Centennial. The mural reflects the stories, people, and experiences that have shaped Boca Raton over the past 100 years. Inspired by poems and reflections submitted through the City’s Ode to Boca initiative, the artwork blends community voices with Butler’s signature narrative style, creating a welcoming centerpiece in Downtown Boca. The mural depicts Boca Raton’s natural and cultural landmarks—from beaches and the Intracoastal Waterway to local wildlife and historic architecture—offering a layered visual story of the City’s past, present, and future. The project was revealed during a community celebration with remarks from City officials, a meet-and-greet with the artist, Poems on Demand by O, Miami, and displays of community-submitted verses. The Amphitheater’s stage doors are transformed into a large-scale expression of community storytelling, blending public art, poetry, and place. Inspired by local Odes to Boca, five- line poems from residents, business owners, and visitors about their personal connections to the City, the mural reflects Boca Raton’s collective voice — past, present, and future. Building on this outpouring of community expression, survey responses on the final artist’s vision statements also helped guide the direction of the project and the selection of the commissioned artist. South Florida artist Brian Butler brings a playful, narrative-driven style to this mural, with the artwork capturing a century of Boca Raton through signature architecture, beaches, and iconic local moments. Butler’s composition blends natural and cultural elements — a sunbather and sea turtle, a ship passing under the bridge, and memories of early Boca Raton alongside scenes of daily life today. It’s warm, restrained palette complements the surrounding downtown environment, and layered details invite visitors to explore the city’s history at both a glance and up close. Learn more about the Ode to Boca initiative, in partnership with O, Miami and submit YOUR Ode to Boca today.","https://myboca.us/1931/Ode-to-Boca-Mural-at-the-Mizner-Park-Amp"
"Holidays in Boca","Experience all the holiday fun Recreation Services has to offer during the November and December months.","https://bocarecreationservices.my.canva.site/"
"Police Department Headquarters Information","On March 10, 2026, Boca Raton voters will decide on a $175 million bond to fund a new Police Department Headquarters.","https://www.myboca.us/2820/57413/Police-Department-HQ"
"The Latest Economic Development News","In Boca Raton, economic development isn’t just about numbers — it’s about people, prosperity, and possibility. A thriving local economy drives innovation, strengthens our world-class infrastructure, and supports the exceptional quality of life that defines our community. The Office of Economic Development is here to help YOUR business. Read the latest insights on the City's business landscape and economic growth initiatives. The City’s Economic Development Incentives Policy helps attract and support corporate and regional headquarters by providing targeted grants that spur private investment, job creation, and long-term economic growth in Boca Raton. More Business Growth at BRiC CP Group, with DRA Advisors, announced over 266,000 SF of new and renewed leases at the Boca Raton Innovation Campus - a testament to Boca Raton’s strong and growing business climate. The activity spans technology, healthcare, education, and finance, including new leases from Allstar Recruiting Locums, Cinch Home Services, and EchoTwin AI, which relocated from San Francisco. As CP Group completes its $100 million modernization of BRiC, the campus continues to attract innovative companies and talent. Get Ready for the 2025 Bush's Boca Raton Bowl of Beans Back again this December, the Bush's Boca Raton Bowl of Beans brings national visibility, tourism, and economic impact to our community. As one of the City’s leading annual economic drivers, the event draws thousands of visitors, drives hotel and restaurant business, and showcases Boca Raton on a national stage through ESPN coverage. The City is proud to sponsor this signature event, highlighting the strong partnership between sports, business, and community in our region. Tuesday, December 23, 2PM. Stay tuned for ticket sales! Top Schools That Fuel Workforce Boca Raton’s A-rated schools continue to attract families and businesses, strengthening the City’s future talent pipeline. The Florida Department of Education named eight of the City's public schools as “Schools of Excellence,” and the FAU Lab Schools were recognized as a Cognia School of Distinction. With exceptional schools and higher education partners like Florida Atlantic University (now a top 100 public university!), Boca Raton offers both a skilled workforce and an outstanding quality of life. Boca Raton is making a strong case for corporate relocation from New York. A new Boyd Company report shows that New York City firms can save up to $7.5 million annually by relocating to Boca Raton, thanks to lower labor, real estate, and operating costs. With recent moves by The Farmer’s Dog and Innovative Solutions, and established headquarters like ADT and Celsius Holdings, Boca Raton continues to strengthen its position as a thriving corporate hub and driver of economic growth. Learn more about the comparison covered by [Your]News, Boca Raton Offers Companies $7.5 Million in Annual Savings Compared to New York City. Supply chain and logistics companies are increasingly turning to research parks and innovation districts for the talent, resources, and partnerships that accelerate growth. Read an article from the Office of Economic Development featured in Supply Chain Brain, on Why Logistics Companies Should Site Near Research and Innovation Centers. The Office of Economic Development recently awarded several grants through its Economic Development Incentives Policy, supporting new investment and job creation across the community. We’re proud to help spur new business in the City. See recent news about New Jersey based ADMA Biologics Inc's decision to relocate to Boca Raton, Why a Key U.S. Drug Supplier is Doubling Down on Boca Raton, and how BioStem Technologies Secures Land Purchase at the Research Park at Florida Atlantic University in Boca Raton for Future Headquarters. Plus, Centennial celebrations are in full swing in Boca Raton. Withum marked its first year in its new Boca Raton office with a community Open House which also honored the 100th anniversary of the City. Business and community leaders in attendance enjoyed networking and a special historical exhibit that underscored Withum’s growing presence and commitment to our local business community. Proactive Permitting: Accelerating Growth for Manufacturers A recent Manufacturing Journal from the City’s Economic Development Manager highlights how proactive permitting assistance can give manufacturers a competitive edge when expanding or relocating. Contact Neha James, the City of Boca Raton's Operations & Business Liaison Manager, to streamline your new commercial space, renovation or expansion. njames@bocaraton-fl.gov. More and more companies are expanding and investing in Boca Raton, recognizing it as the ideal place to grow and thrive. As our business community continues to evolve, we celebrate their success and the positive impact they bring to our local economy. Newcomers and expansions include: Boca Raton has long prioritized fostering a dynamic, business-friendly climate — and today’s forward-thinking initiatives continue to strengthen the City’s reputation as a hub for innovation and economic prosperity. Guident Leads Autonomous Shuttle Service in Mizner Park Boca Raton based Guident set to launch its autonomous shuttle service in Mizner Park on November 24. A pilot program for the City, this innovative project introduces a 0.6-mile autonomous shuttle loop, showcasing cutting-edge technology developed right here in Boca Raton. As a leader in autonomous vehicle monitoring and safety solutions, Guident’s local presence highlights the City’s reputation of fostering smart businesses and as a hub for sustainable mobility innovation. Expansion of the MiCa shuttle planned for Royal Palm Place. Boca Raton Earns LEED for Cities GOLD Certification The City has achieved the LEED for Cities Gold Certification from the U.S. Green Building Council (USGBC), joining an elite group of communities recognized for advancing sustainable growth and economic resilience. This milestone highlights Boca Raton’s commitment to building a future-ready economy that supports innovation, sustainability, and a high quality of life for businesses and residents alike. To learn more, contact Sustainability Manager Tina Batoh-Jennings at cbatohjennings@bocaraton-fl.gov. At recent City Council meetings, Terra & Frisbie Group provided a revised proposal to the City Hall Campus redevelopment project following additional community feedback. Learn more about the revised proposal, latest updates and project vision for this area of Downtown Boca. Boca Raton offers a diverse mix of corporate real estate — from expansive campuses and downtown hubs to historic landmarks, flexible office spaces, and vibrant live-work-play environments. Explore a selection of our premier corporate properties below. 2600 N. Military Trail Contact the Office of Economic Development today. Our team is ready to assist with corporate relocations, expansions, and other opportunities to grow your business in Boca Raton. Economic Development Manager economicdevelopment@bocaraton-fl.gov Miss our last 2025 bi-monthly report? To catch up on business in Boca Raton, read the latest Reports from the Office of Economic Development. Report #1 - September City of Boca Raton/Office of Economic Development17751 Boca Club Boulevard Boca Raton, FL 33487 US Unsubscribe | Update Profile | Constant Contact Data Notice","https://conta.cc/3KA6sOm"
"Sustainability Matters Newsletter Holiday Edition!","To read this newsletter in your browser, find it on the City's website. Dear Sustainability Champions, As we head into the holiday season, there’s much to be thankful for — and even more to celebrate when it comes to sustainability in Boca Raton! Over the past few months, our community has achieved several impressive milestones that highlight our shared commitment to protecting our environment and advancing the City’s sustainability goals. On October 27, the City proudly accepted its LEED for Cities Gold Certification, recognizing Boca Raton’s leadership in energy efficiency, waste reduction, innovation, and overall quality of life. Residents have also stepped up in meaningful ways: through the Unwrap the Waves program with Loggerhead Marinelife Center, we collected 11,550 Halloween candy wrappers citywide for recycling. Our Intracoastal Cleanup on November 6 brought together 21 volunteers, who paddled and walked along the shoreline of Rutherford Park to remove 109 pounds of trash and recyclables. Within this issue you’ll also find important information on how to green your holidays with sustainable tips — from reducing Thanksgiving food waste to curbing excessive gift purchases. I want to offer my sincerest thanks to our residents who continue to encourage and support the sustainability initiatives of our beautiful city. Your level of engagement is contagious and motivating, and I look forward to carrying that into the New Year. Until then, wishing you and yours a blessed Thanksgiving and a very joyful holiday season! Sustainability Manager, City of Boca Raton Sustainable Thanksgiving: Tips for Keeping the Feast, But Reducing the Waste Nationwide, an estimated 300+ million pounds of food are wasted on Thanksgiving alone. Reducing even a small slice of that waste locally makes a measurable climate and community impact. Sustainable Holidays: Gifts, Lights, Trees, & Celebrations with a Lighter Footprint Household waste can spike substantially during the holiday season (analyses show roughly a 20–25% increase in household trash in December over other months). Lighting is also a meaningful part of seasonal electricity use — but switching to LEDs cuts holiday lighting energy by ~70–85% compared to incandescent bulbs. Reducing physical waste and utilizing more efficient lighting can make big differences in reducing your holiday footprint. The City's Christmas tree recycling program will run from Dec. 26, 2025 through Jan. 19, 2026. Residents can drop off their “clean” Christmas trees (remove all lights & decorations) at Countess de Hoernle Park (1000 Spanish River Blvd, southern end of the parking lot next to the maintenance area). Recreation Services will pick up the trees and chip them into mulch to be used at the Gumbo Limbo Nature Center. An Otterly Abundant Thanksgiving! On November 2, two playful North American river otters (Lontra canadensis) were spotted in the Lake Worth Drainage District E-3 Canal near the intersection of South Military Trail and Verde Trail South. This species is found throughout the state (where it is the only native otter) and inhabits freshwater rivers, lakes, marshes, and coastal estuaries. The otters tend to avoid heavily urbanized or polluted waterways, so their presence may be a good sign for the E-3 Canal water quality! Adult river otters typically reach 3-4 feet long (with a strong and tapered tail that acts like a rudder when swimming) and weigh 10-25 pounds, though males can reach up to 30 pounds. The two otters viewed in the E-3 were certainly pushing to reach that maximum weight as they made a feast of apple snails from the canal. There were at least a dozen empty shells strewn across the canal bank in the vicinity of the otters. What a delicious and nutritious pre-Thanksgiving meal! This was a fantastic opportunity to be able to view these adorable and inquisitive animals. Be warned, however, otters are highly intelligent and can be aggressive if threatened. They are wild carnivores, so treat them as such and enjoy them safely from a distance if you happen to see them. They will probably be just as interested in seeing you! Update on the Children's Science Explorium Chickee Hut In our last newsletter, you saw the ongoing progress to clear weeds from around the Children’s Science Explorium’s new Chickee hut in preparation for planting a native landscape. On October 28, the vision was completed when a team from the Explorium working with Woodly and Jean from the City’s maintenance team installed over 95 native plants including southern shield ferns, coontie, cocoplum, wild coffee, muhly grass and more! Make sure to stop by frequently and watch as the plants fill in the space, and stay tuned to City outreach to find out about events that will soon be offered in the Chickee hut! Sustainability Heroes Thank you to Nancy and Daphna from Boca Raton Garden Club (BRGC) for refreshing the four planters on the Spanish River Library footbridge. In addition to fresh soil and mulch, new bromeliads were installed and a native coontie was replaced. The planters are a collaboration between BRGC and HABcenter nursery (who supplies the planting materials). These dedicated partners beautify the landscape for all those enjoying the trail around Spanish River Library and Pondhawk Natural Area. Check it out on your next visit and appreciate Nancy and Daphna’s green thumbs! A big thanks to students, teachers, staff and the PTA of Verde Elementary School for collecting over 9,700 wrappers which made up about 84% of the City’s entire collection for Loggerhead Marinelife Center’s Unwrap the Waves candy wrapper recycling program. Thank you for keeping this source of plastic from reaching our ecosystems! (We collected 11,550 wrappers in total this year!) Well done citizen scientists! You can be a Citizen Scientist anytime! At Spanish River Library, stop by the Check Out desk and ask to borrow a Citizen Science Kit. The Citizen Science Kits are designed to help adults and older children participate in the scientific process, to address societal needs and accelerate science, technology and innovation. The kits provide the opportunity to conduct experiments, collect data, interpret results, make new discoveries, and crowdsource. There are kits to investigate various topics including Exploring Biodiversity, Monitoring Water Quality, Measuring Light in the Night, and more. Grab your kit and work as a family to learn something new over Thanksgiving and winter breaks. Are you, or someone you know, going above and beyond for sustainability in the City of Boca Raton? Submit them for the next edition! Email us at sustainability@myboca.us www.myboca.us/sustainability sustainability@myboca.us City of Boca Raton | 201 West Palmetto Park Road | Boca Raton, FL 33432 US Unsubscribe | Update Profile | Constant Contact Data Notice","https://myemail.constantcontact.com/City-of-Boca-Raton-Sustainability-Matters---Holiday-Edition-2025.html?soid=1130231077400&aid=jaHJcrfXaYI"
